image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
4446, 86.85199451446533, 1.0402028560638428, 511216, 555329, 1066544, 83, 0.044479571011244945, 99956, 1952.6266225118977, 1865.7746279974324, 0.0007360378741970708
4500, 87.88976454734802, 1.0377700328826904, 510579, 550592, 1061172, 84, 0.04501980871583497, 99956, 1952.246512243271, 1864.3567476959229, 0.00075994189235562
4554, 88.9317057132721, 1.0419411659240723, 510040, 546061, 1056101, 85, 0.045560046420424986, 99956, 1951.9669688791887, 1863.0352631659166, 0.0007088152692017458
4608, 89.97434163093567, 1.0426359176635742, 509451, 541695, 1051146, 86, 0.046100284125015004, 99956, 1951.7090477564684, 1861.7347061255327, 0.0006980850368735192
4662, 91.0085608959198, 1.0342192649841309, 508737, 537395, 1046132, 87, 0.04664052182960503, 99956, 1951.2766436963877, 1860.268082800468, 0.0007877724577187717
4716, 92.04190969467163, 1.033348798751831, 507932, 533204, 1041136, 88, 0.047180759534195045, 99956, 1950.8356924174295, 1858.793782722758, 0.0007925202240155471
4770, 93.08154463768005, 1.0396349430084229, 507389, 529052, 1036441, 89, 0.04772099723878506, 99956, 1950.5364519505133, 1857.4549073128333, 0.0007202926017771949
4824, 94.12340140342712, 1.0418567657470703, 506841, 524988, 1031829, 90, 0.048261234943375086, 99956, 1950.2899483169488, 1856.1665469135216, 0.0006936159764844296
4878, 95.16287565231323, 1.0394742488861084, 506168, 521009, 1027176, 91, 0.048801472647965104, 99956, 1950.0000817348548, 1854.8372060825416, 0.0007161754063451653
4932, 96.20160698890686, 1.038731336593628, 505812, 517002, 1022814, 92, 0.04934171035255512, 99956, 1949.7015061198651, 1853.4998991309583, 0.0007209834626984435
4986, 97.24343609809875, 1.0418291091918945, 505138, 513257, 1018395, 93, 0.049881948057145145, 99956, 1949.4714999240994, 1852.2280638260006, 0.0006861804014955952
5040, 98.28625583648682, 1.0428197383880615, 504642, 509528, 1014170, 94, 0.05042218576173516, 99956, 1949.2660691253723, 1850.9798132888855, 0.0006739183805134497
5094, 99.32906866073608, 1.0428128242492676, 504110, 505838, 1009948, 95, 0.05096242346632519, 99956, 1949.0648580786287, 1849.7357894178926, 0.0006720893777779624
5148, 100.36938142776489, 1.0403127670288086, 503704, 502181, 1005885, 96, 0.051502661170915204, 99956, 1948.8193259505958, 1848.449944522831, 0.0006951505736213504
5202, 101.41188931465149, 1.0425078868865967, 503416, 498658, 1002074, 97, 0.05204289887550522, 99956, 1948.6210704220116, 1847.20918110736, 0.0006712453421567899
5256, 102.45372128486633, 1.0418319702148438, 502894, 495131, 998025, 98, 0.052583136580095245, 99956, 1948.4140343892882, 1845.9603131044219, 0.0006760836919343927
5310, 103.49638414382935, 1.0426628589630127, 502529, 491697, 994226, 99, 0.05312337428468526, 99956, 1948.2268499963477, 1844.7304658525184, 0.0006662371033508974
