image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
2226, 101.80937027931213, 1.0829997062683105, 532075, 1244447, 1776521, 94, 0.04453959742286606, 49978, 2285.8170295684913, 2184.007659289179, 0.0006479672395544034
2250, 102.89337086677551, 1.084000587463379, 532465, 1235349, 1767814, 95, 0.04501980871583497, 49978, 2285.5132840798697, 2182.619913213094, 0.0006354126416098227
2274, 103.97237086296082, 1.0789999961853027, 533075, 1226226, 1759301, 96, 0.045500020008803876, 49978, 2285.106047048837, 2181.133676185876, 0.0006809417518005567
2298, 105.05137062072754, 1.0789997577667236, 533440, 1217177, 1750617, 97, 0.04598023130177278, 49978, 2284.707311089087, 2179.6559404683594, 0.0006775080929934951
2322, 106.12737083435059, 1.0760002136230469, 533638, 1208328, 1741966, 98, 0.046460442594741684, 49978, 2284.252256485432, 2178.1248856510815, 0.0007024295848035988
2346, 107.20437121391296, 1.077000379562378, 533969, 1199519, 1733488, 99, 0.04694065388771059, 49978, 2283.8278194923028, 2176.62344827839, 0.0006893256592322983
2370, 108.2813708782196, 1.0769996643066406, 533819, 1191035, 1724854, 100, 0.0474208651806795, 49978, 2283.411963608295, 2175.1305927300755, 0.000685858433389197
2394, 109.36437129974365, 1.0830004215240479, 535037, 1182685, 1717721, 101, 0.047901076473648406, 49978, 2283.129719640179, 2173.765348340435, 0.0006276608835364961
2418, 110.44337058067322, 1.0789992809295654, 535393, 1174594, 1709987, 102, 0.04838128776661731, 49978, 2282.7703783626494, 2172.327007781976, 0.0006616816113832469
2442, 111.53137063980103, 1.0880000591278076, 535866, 1166707, 1702573, 103, 0.04886149905958622, 49978, 2282.602310334142, 2171.070939694341, 0.0005782131710075911
2466, 112.61437129974365, 1.083000659942627, 536387, 1158989, 1695375, 104, 0.04934171035255512, 49978, 2282.3361917350317, 2169.721820435288, 0.0006214072669791237
2490, 113.69737076759338, 1.0829994678497314, 537542, 1151251, 1688792, 105, 0.04982192164552403, 49978, 2282.075179205937, 2168.3778084383434, 0.0006194397753140901
2514, 114.78237080574036, 1.0850000381469727, 538713, 1143710, 1682423, 106, 0.050302132938492936, 49978, 2281.858921292479, 2167.0765504867386, 0.0006001066541729827
2538, 115.86037063598633, 1.0779998302459717, 539486, 1136128, 1675614, 107, 0.05078234423146184, 49978, 2281.5089060856285, 2165.648535449642, 0.0006589592032527625
2562, 116.94137144088745, 1.081000804901123, 540130, 1128737, 1668867, 108, 0.05126255552443075, 49978, 2281.22398980198, 2164.282618361093, 0.000630719651037781
2586, 118.02237057685852, 1.0809991359710693, 540686, 1121455, 1662141, 109, 0.05174276681739966, 49978, 2280.9443297332696, 2162.921959156411, 0.0006286883206186866
2610, 119.10437035560608, 1.0819997787475586, 541302, 1114555, 1655857, 110, 0.052222978110368565, 49978, 2280.688973805548, 2161.584603449942, 0.0006183097364228507
2634, 120.18837070465088, 1.0840003490447998, 542060, 1107513, 1649573, 111, 0.052703189403337465, 49978, 2280.476230477237, 2160.287859772586, 0.0005999041977288178
2658, 121.27237057685852, 1.0839998722076416, 542865, 1100570, 1643434, 112, 0.05318340069630637, 49978, 2280.2673200489976, 2158.994949472139, 0.0005984898237512137
2682, 122.35237073898315, 1.0800001621246338, 543959, 1093987, 1637946, 113, 0.05366361198927528, 49978, 2279.9876155081656, 2157.6352447691825, 0.0006297859581788634
2706, 123.43437099456787, 1.0820002555847168, 544753, 1087338, 1632091, 114, 0.05414382328224419, 49978, 2279.7498128479356, 2156.3154418533677, 0.0006116895425277713
2728, 124.43837070465088, 1.0039997100830078, 545588, 1081442, 1627030, 115, 0.05458401696746568, 49978, 2279.7583911572733, 2155.3200204526224, 0.00046163069717186644
2752, 125.52337121963501, 1.0850005149841309, 546070, 1074962, 1621032, 116, 0.05506422826043459, 49978, 2279.581048987979, 2154.057677768344, 0.0005856868921085834
2776, 126.6013708114624, 1.0779995918273926, 546746, 1068625, 1615371, 117, 0.0555444395534035, 49978, 2279.280731417604, 2152.6793606061415, 0.0006398701280972974
2800, 127.6803708076477, 1.0789999961853027, 547004, 1062288, 1609292, 118, 0.056024650846372405, 49978, 2279.003418651649, 2151.3230478440014, 0.0006300579579850973
2824, 128.7603714466095, 1.080000638961792, 548055, 1056536, 1604591, 119, 0.05650486213934131, 49978, 2278.748528384791, 2149.9881569381814, 0.0006204976547607988
2848, 129.8393714427948, 1.0789999961853027, 548049, 1051183, 1599232, 120, 0.05698507343231022, 49978, 2278.480374286516, 2148.6410028437213, 0.0006265867512399437
2872, 130.9193708896637, 1.0799994468688965, 548211, 1045810, 1594022, 121, 0.05746528472527912, 49978, 2278.2340941238203, 2147.3147232341566, 0.0006172644047141018
2896, 132.0003731250763, 1.0810022354125977, 548780, 1040081, 1588861, 122, 0.05794549601824803, 49978, 2278.009201673019, 2146.008828547943, 0.0006081524389899284
